host_response_rate,host_acceptance_rate,host_listings_count,latitude,longitude,city,zipcode,state,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews
,,1.0,48.86755,2.38085,Paris,75011,Île-de-France,4,Entire home/apt,1.0,1.0,2.0,$45.00,,$600.00,7,1125,2
100%,,1.0,48.83036,2.37239,Paris,75013,Île-de-France,3,Entire home/apt,1.0,1.0,2.0,$65.00,$40.00,$150.00,7,60,43
87%,,1.0,48.86155,2.3008,Paris,75007,Île-de-France,4,Entire home/apt,2.0,1.0,2.0,$180.00,$50.00,$600.00,4,1125,4
100%,,1.0,48.88213,2.3370599999999997,Paris,75009,Île-de-France,4,Entire home/apt,2.0,1.0,3.0,$120.00,$30.00,$500.00,3,1125,49
100%,,2.0,48.88735,2.35217,Paris,75018,Île-de-France,6,Entire home/apt,3.0,1.0,5.0,$180.00,$50.00,$500.00,3,90,70
100%,,1.0,48.87781,2.35474,Paris,75010,Île-de-France,4,Entire home/apt,2.0,1.0,4.0,$110.00,$55.00,$130.00,3,40,37
100%,,6.0,48.88255,2.29682,Paris,75017,Île-de-France,1,Entire home/apt,1.0,0.5,1.0,$38.00,$20.00,$100.00,30,305,12
100%,,1.0,48.8226,2.3289299999999997,Paris,75014,Île-de-France,2,Private room,1.0,1.0,1.0,$50.00,$20.00,$100.00,2,15,64
100%,,47.0,48.85745,2.3470299999999997,Paris,75001,Île-de-France,4,Entire home/apt,2.0,2.0,0.0,$325.00,$90.00,$200.00,3,365,10
67%,,1.0,48.88242,2.38131,Paris,75019,Île-de-France,4,Entire home/apt,1.0,1.0,2.0,$55.00,$15.00,$750.00,12,90,8
100%,,1.0,48.875170000000004,2.359,Paris,75010,Île-de-France,4,Entire home/apt,2.0,1.0,3.0,$100.00,$50.00,$500.00,5,90,19
,,1.0,48.86787,2.30239,Paris,75008,Île-de-France,3,Entire home/apt,1.0,1.0,2.0,$189.00,$80.00,$800.00,2,95,28
,,1.0,48.86547,2.39874,Paris,75020,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$65.00,,,3,30,0
100%,,1.0,48.87347000000001,2.3744400000000003,Paris,75010,Île-de-France,4,Entire home/apt,2.0,1.0,3.0,$101.00,$50.00,$0.00,3,1125,13
100%,,1.0,48.87979,2.2892200000000003,Paris,75017,Île-de-France,4,Entire home/apt,2.0,1.0,0.0,$98.00,$100.00,,7,1125,0
100%,,1.0,48.87211,2.39309,Paris,75020,Île-de-France,5,Entire home/apt,2.0,1.0,3.0,$98.00,$60.00,$300.00,4,30,39
88%,,1.0,48.89102000000001,2.32972,Paris,75017,Île-de-France,6,Entire home/apt,3.0,2.0,3.0,$250.00,$50.00,"$1,000.00",4,30,28
100%,,1.0,48.84558,2.29818,Paris,75015,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$100.00,$30.00,$500.00,15,1125,11
100%,,1.0,48.86504,2.33249,Paris,75001,Île-de-France,3,Entire home/apt,1.0,1.0,1.0,$99.00,$40.00,$100.00,2,1125,79
100%,,1.0,48.88366,2.34143,Paris,75018,Île-de-France,4,Entire home/apt,2.0,1.0,4.0,$129.00,$50.00,$300.00,2,1125,390
100%,,1.0,48.8753,2.38088,Paris,75019,Île-de-France,4,Entire home/apt,2.0,1.0,2.0,$130.00,$40.00,,5,10,21
100%,,1.0,48.86102,2.36186,Paris,75003,Île-de-France,8,Entire home/apt,4.0,1.0,9.0,$350.00,$100.00,$0.00,4,21,26
100%,,1.0,48.85999,2.30565,Paris,75007,Île-de-France,4,Entire home/apt,1.0,1.0,1.0,$150.00,$30.00,$100.00,2,1125,51
100%,,1.0,48.86136,2.36587,Paris,75011,Île-de-France,2,Entire home/apt,1.0,1.0,2.0,$95.00,,$200.00,59,368,17
100%,,4.0,48.87226,2.31108,Paris,75008,Île-de-France,4,Entire home/apt,1.0,1.5,2.0,$30.00,$30.00,$200.00,3,7,1
,,1.0,48.86468,2.38027,Paris,75011,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$80.00,$50.00,$500.00,4,30,3
100%,,1.0,48.88079000000001,2.32422,Paris,75008,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$50.00,$41.00,$250.00,30,305,4
,,1.0,48.87211,2.34939,Paris,75010,Île-de-France,4,Entire home/apt,1.0,1.0,2.0,$110.00,$30.00,$400.00,2,1125,12
,,1.0,48.84493,2.3111900000000003,Paris,75015,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$75.00,,"$1,000.00",7,30,0
90%,,1.0,48.87145,2.3544400000000003,Paris,75010,Île-de-France,5,Entire home/apt,3.0,1.0,4.0,$115.00,$30.00,,2,7,72
91%,,3.0,48.83858,2.3476,Paris,75005,Île-de-France,4,Entire home/apt,1.0,1.0,1.0,$240.00,,$200.00,1,28,12
100%,,2.0,48.85552,2.3862900000000002,Paris,75011,Île-de-France,2,Entire home/apt,0.0,1.0,1.0,$64.00,$15.00,$100.00,2,30,245
100%,,4.0,48.844770000000004,2.34322,Paris,75005,Île-de-France,12,Entire home/apt,5.0,2.5,7.0,$350.00,,$500.00,1,28,253
100%,,3.0,48.86947,2.36964,Paris,75010,Île-de-France,4,Entire home/apt,1.0,1.0,1.0,$67.00,$35.00,$280.00,3,30,24
100%,,13.0,48.85705,2.35513,Paris,75004,Île-de-France,6,Entire home/apt,2.0,2.0,3.0,$300.00,$70.00,$0.00,3,1125,35
100%,,1.0,48.84972,2.33893,Paris,75006,Île-de-France,5,Entire home/apt,4.0,2.5,5.0,$300.00,$70.00,$500.00,3,1125,33
100%,,2.0,48.86189,2.3761900000000002,Paris,75011,Île-de-France,1,Private room,1.0,1.0,1.0,$65.00,$26.00,$500.00,3,30,90
,,1.0,48.87388,2.3599200000000002,Paris,75010,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$104.00,$20.00,$290.00,2,1125,0
100%,,1.0,48.85147,2.34061,Paris,75006,Île-de-France,3,Entire home/apt,1.0,1.0,2.0,$98.00,$50.00,$200.00,5,30,193
,,1.0,48.83929000000001,2.34448,Paris,75005,Île-de-France,3,Entire home/apt,1.0,1.0,2.0,$90.00,,,4,365,54
90%,,1.0,48.87591,2.3818099999999998,Paris,75019,Île-de-France,6,Entire home/apt,3.0,2.0,4.0,$147.00,$50.00,$700.00,3,30,20
,,1.0,48.87543,2.38116,Paris,75019,Île-de-France,1,Private room,1.0,0.5,2.0,$50.00,,,4,60,3
90%,,1.0,48.88865,2.3753599999999997,Paris,75019,Île-de-France,2,Entire home/apt,2.0,1.0,4.0,$69.00,$45.00,$350.00,6,1125,27
100%,,1.0,48.89179,2.37537,Paris,75019,Île-de-France,1,Shared room,1.0,1.0,1.0,$35.00,$0.00,$250.00,2,2,151
0%,,1.0,48.86624000000001,2.37761,Paris,75011,Île-de-France,4,Entire home/apt,3.0,2.5,3.0,$190.00,$150.00,"$4,200.00",90,365,1
100%,,1.0,48.86822,2.36377,Paris,75011,Île-de-France,6,Entire home/apt,2.0,1.0,4.0,$189.00,$59.00,"$1,000.00",7,25,50
100%,,1.0,48.83775,2.34985,Paris,75005,Île-de-France,5,Entire home/apt,2.0,1.0,3.0,$220.00,$50.00,$450.00,6,30,7
70%,,2.0,48.886540000000004,2.3473,Paris,75018,Île-de-France,1,Entire home/apt,1.0,0.5,1.0,$29.00,,,6,1125,57
96%,,2.0,48.867290000000004,2.3484599999999998,Paris,75010,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$58.00,$40.00,$200.00,3,30,209
100%,,1.0,48.83487,2.3559099999999997,Paris,75013,Île-de-France,4,Entire home/apt,1.0,1.0,1.0,$80.00,$50.00,$250.00,6,1125,21
50%,,1.0,48.854440000000004,2.27494,Paris,75016,Île-de-France,3,Entire home/apt,1.0,1.0,1.0,$110.00,$45.00,$300.00,4,1125,15
100%,,3.0,48.8442,2.35147,Paris,75005,Île-de-France,4,Entire home/apt,1.0,1.0,2.0,$139.00,$70.00,$300.00,1,300,65
94%,,1.0,48.84078,2.29488,Paris,75015,Île-de-France,4,Private room,1.0,1.0,4.0,$49.00,$20.00,$0.00,1,7,32
100%,,1.0,48.8718,2.39157,Paris,75020,Île-de-France,4,Entire home/apt,2.0,1.0,2.0,$190.00,$60.00,$600.00,2,13,10
87%,,1.0,48.84709,2.3943,Paris,75012,Île-de-France,3,Entire home/apt,0.0,1.0,2.0,$75.00,$30.00,"$1,500.00",2,1125,228
100%,,2.0,48.85265,2.36535,Paris,75004,Île-de-France,1,Private room,1.0,1.0,1.0,$85.00,$40.00,$300.00,3,14,38
71%,,1.0,48.84431,2.2911,Paris,75015,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$85.00,$30.00,$500.00,2,1125,3
,,1.0,48.86632,2.37037,Paris,75011,Île-de-France,2,Entire home/apt,1.0,,1.0,$95.00,,,2,365,23
100%,,6.0,48.85799,2.35167,Paris,75004,Île-de-France,7,Entire home/apt,2.0,1.0,5.0,$350.00,$40.00,$300.00,7,1124,5
,,1.0,48.86745,2.38853,Paris,75020,Île-de-France,1,Entire home/apt,1.0,1.0,3.0,"$1,000.00",$300.00,$0.00,365,365,0
100%,,2.0,48.869820000000004,2.35813,Paris,75010,Île-de-France,7,Entire home/apt,2.0,1.0,5.0,$245.00,$30.00,$450.00,1,1125,218
80%,,1.0,48.88204,2.3661,Paris,75010,Île-de-France,5,Entire home/apt,2.0,1.0,3.0,$150.00,$30.00,"$1,000.00",5,55,4
0%,,1.0,48.85232,2.37839,Paris,75011,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$70.00,$30.00,$150.00,1,30,13
100%,,1.0,48.88664,2.34671,Paris,75018,Île-de-France,2,Entire home/apt,1.0,,1.0,$70.00,$0.00,$500.00,4,1125,5
80%,,1.0,48.87297,2.38713,Paris,75020,Île-de-France,4,Entire home/apt,2.0,1.0,3.0,$97.00,$0.00,$0.00,7,21,13
100%,,1.0,48.8471,2.38259,Paris,75011,Île-de-France,8,Entire home/apt,4.0,2.0,6.0,$279.00,$65.00,$500.00,3,30,118
,,1.0,48.8891,2.31846,Paris,75017,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$90.00,$30.00,,1,5,0
,,1.0,48.83498,2.40536,Paris,75012,Île-de-France,2,Private room,1.0,1.0,1.0,$150.00,$25.00,"$1,000.00",1,1125,2
100%,,1.0,48.84915,2.27505,Paris,75016,Île-de-France,2,Private room,1.0,1.0,1.0,$110.00,$30.00,$600.00,4,1125,0
100%,,1.0,48.861959999999996,2.3839200000000003,Paris,75011,Île-de-France,2,Entire home/apt,1.0,0.0,,$45.00,$30.00,$500.00,7,1125,8
100%,,1.0,48.856,2.33109,Paris,75007,Île-de-France,1,Entire home/apt,1.0,0.5,1.0,$55.00,,,5,25,66
91%,,3.0,48.83854,2.34783,Paris,75005,Île-de-France,6,Entire home/apt,2.0,1.0,5.0,$350.00,,$300.00,1,28,5
100%,,1.0,48.86542,2.3654,Paris,75003,Île-de-France,4,Entire home/apt,2.0,1.0,2.0,$160.00,,$400.00,5,60,62
100%,,3.0,48.84301,2.27064,Paris,75016,Île-de-France,6,Entire home/apt,3.0,1.0,4.0,$400.00,$90.00,"$1,000.00",1,1125,240
100%,,2.0,48.86101,2.37764,Paris,75011,Île-de-France,4,Entire home/apt,2.0,1.0,2.0,$125.00,$40.00,$500.00,3,8,8
100%,,1.0,48.866279999999996,2.36175,Paris,75003,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$95.00,$35.00,$750.00,4,1125,31
,,1.0,48.86912,2.3090599999999997,Paris,75008,Île-de-France,6,Entire home/apt,3.0,3.5,3.0,$900.00,,"$3,000.00",14,45,4
83%,,2.0,48.86908,2.3965799999999997,Paris,75020,Île-de-France,3,Entire home/apt,2.0,1.0,2.0,$60.00,$30.00,$500.00,1,30,1
100%,,1.0,48.855470000000004,2.37281,Paris,75011,Île-de-France,2,Private room,1.0,1.0,1.0,$100.00,$35.00,$100.00,1,15,68
100%,,1.0,48.87471,2.33379,Paris,75009,Île-de-France,6,Entire home/apt,3.0,2.0,3.0,$190.00,$50.00,$350.00,7,1125,10
100%,,1.0,48.84061,2.3268299999999997,Paris,75014,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$85.00,,$300.00,4,1125,185
100%,,1.0,48.85393,2.39515,Paris,75020,Île-de-France,2,Private room,1.0,1.0,1.0,$32.00,$12.00,,7,20,114
100%,,3.0,48.86558,2.35705,Paris,75003,Île-de-France,4,Entire home/apt,2.0,1.0,2.0,$220.00,$30.00,$800.00,3,45,19
,,1.0,48.88173,2.32665,Paris,75008,Île-de-France,4,Entire home/apt,2.0,1.0,2.0,$175.00,$70.00,"$1,500.00",5,15,0
,,1.0,48.893029999999996,2.31776,Paris,75017,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$56.00,$45.00,$800.00,3,1125,6
80%,,2.0,48.85191,2.39058,Paris,75011,Île-de-France,3,Entire home/apt,1.0,1.0,1.0,$95.00,$100.00,$350.00,12,1125,1
,,1.0,48.88639000000001,2.31999,Paris,75017,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$70.00,$50.00,,4,1125,0
,,1.0,48.870979999999996,2.36448,Paris,75010,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$80.00,$30.00,$450.00,3,10,0
75%,,2.0,48.85491,2.4100200000000003,Paris,75020,Île-de-France,3,Private room,1.0,1.0,2.0,$44.00,$40.00,$220.00,2,14,17
83%,,1.0,48.85075,2.29825,Paris,75015,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$90.00,,,2,5,12
100%,,1.0,48.87715,2.3456,Paris,75009,Île-de-France,8,Entire home/apt,4.0,1.5,4.0,$220.00,$40.00,"$1,000.00",4,21,4
100%,,1.0,48.85888,2.35353,Paris,75004,Île-de-France,2,Entire home/apt,1.0,1.0,2.0,$102.00,$45.00,$800.00,3,60,14
100%,,1.0,48.85311,2.39597,Paris,75011,Île-de-France,3,Entire home/apt,1.0,1.0,2.0,$40.00,$40.00,,7,100,0
,,1.0,48.88567000000001,2.30945,Paris,75017,Île-de-France,4,Entire home/apt,1.0,1.0,2.0,$64.00,$30.00,$400.00,4,14,3
100%,,1.0,48.85717,2.37189,Paris,75011,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$140.00,$60.00,$200.00,4,7,6
,,1.0,48.86853,2.3705700000000003,Paris,75011,Île-de-France,5,Entire home/apt,3.0,1.0,4.0,$120.00,$50.00,$400.00,7,1125,1
67%,,1.0,48.87495,2.3694,Paris,75010,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$60.00,$0.00,$400.00,3,150,28
,,2.0,48.865520000000004,2.37748,Paris,75011,Île-de-France,3,Entire home/apt,1.0,1.0,1.0,$80.00,$20.00,$200.00,2,12,4
0%,,1.0,48.869640000000004,2.35981,Paris,75010,Île-de-France,3,Entire home/apt,2.0,1.0,3.0,$140.00,$60.00,$800.00,6,50,5
50%,,1.0,48.87507,2.38414,Paris,75020,Île-de-France,4,Entire home/apt,2.0,1.0,3.0,$86.00,$70.00,,4,1125,4
,,1.0,48.88563,2.28518,Levallois-Perret,92300,Île-de-France,4,Entire home/apt,2.0,1.0,2.0,$65.00,$25.00,$500.00,2,60,57
100%,,1.0,48.88669,2.33669,Paris,75018,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$92.00,,,3,7,108
75%,,1.0,48.87441,2.39167,Paris,75020,Île-de-France,1,Entire home/apt,1.0,1.0,2.0,$45.00,$20.00,$0.00,15,30,8
100%,,1.0,48.8596,2.36728,Paris,75003,Île-de-France,2,Entire home/apt,1.0,1.5,1.0,$220.00,$120.00,$350.00,5,62,37
100%,,2.0,48.85472,2.3092099999999998,Paris,75007,Île-de-France,7,Entire home/apt,3.0,2.0,6.0,$339.00,$140.00,$800.00,7,60,74
100%,,1.0,48.86712,2.40065,Paris,75020,Île-de-France,3,Entire home/apt,2.0,1.0,3.0,$75.00,$25.00,$300.00,3,29,9
100%,,1.0,48.875479999999996,2.34423,Paris,75009,Île-de-France,4,Entire home/apt,1.0,1.0,2.0,$70.00,$15.00,,2,365,84
100%,,1.0,48.86005,2.30151,Paris,75007,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$140.00,$30.00,$400.00,2,10,43
,,1.0,48.839420000000004,2.39289,Paris,75012,Île-de-France,4,Entire home/apt,1.0,1.5,1.0,$91.00,$22.00,$250.00,5,1125,41
100%,,1.0,48.8671,2.34999,Paris,75002,Île-de-France,2,Entire home/apt,1.0,1.0,2.0,$70.00,$40.00,$500.00,3,30,36
100%,,2.0,48.85053,2.26002,Paris,75016,Île-de-France,4,Entire home/apt,1.0,1.0,3.0,$99.00,,,5,82,46
100%,,1.0,48.85058,2.40479,Paris,75020,Île-de-France,4,Entire home/apt,0.0,1.0,0.0,$60.00,$7.00,$500.00,1,10,27
100%,,1.0,48.84626,2.27324,Paris,75016,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$110.00,$30.00,$500.00,2,1125,27
100%,,2.0,48.85723,2.39587,Paris,75020,Île-de-France,6,Entire home/apt,3.0,1.0,4.0,$180.00,$90.00,$300.00,3,1125,16
100%,,1.0,48.88492,2.3517200000000003,Paris,75018,Île-de-France,4,Entire home/apt,2.0,1.0,2.0,$75.00,,$450.00,5,1125,8
100%,,1.0,48.85821,2.36768,Paris,75003,Île-de-France,4,Entire home/apt,1.0,1.0,1.0,$160.00,,,4,1125,1
100%,,1.0,48.85553,2.387,Paris,75011,Île-de-France,6,Entire home/apt,1.0,1.0,3.0,$90.00,$40.00,,2,100,181
100%,,1.0,48.87845,2.29745,Paris,75017,Île-de-France,3,Entire home/apt,1.0,1.0,2.0,$145.00,$45.00,$500.00,2,60,78
90%,,1.0,48.88053,2.36565,Paris,75010,Île-de-France,6,Entire home/apt,2.0,1.0,4.0,$130.00,$40.00,$300.00,3,21,126
100%,,2.0,48.88805,2.3397799999999997,Paris,75018,Île-de-France,4,Entire home/apt,1.0,1.0,0.0,$125.00,$50.00,"$1,400.00",3,769,0
98%,,30.0,48.850229999999996,2.2991599999999996,Paris,75015,Île-de-France,4,Entire home/apt,1.0,1.0,1.0,$260.00,$0.00,"$2,000.00",3,120,4
0%,,1.0,48.87172,2.37039,Paris,75010,Île-de-France,3,Entire home/apt,1.0,1.0,0.0,$100.00,$30.00,$900.00,3,10,31
,,2.0,48.89379,2.38068,Paris,75019,Île-de-France,2,Private room,1.0,1.0,1.0,$50.00,,,1,1125,1
50%,,1.0,48.89226,2.32289,Paris,75017,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$69.00,$45.00,$200.00,20,60,15
50%,,2.0,48.85517,2.36865,Paris,75004,Île-de-France,4,Entire home/apt,2.0,1.0,3.0,$190.00,$80.00,"$1,000.00",30,300,12
65%,,93.0,48.857820000000004,2.34727,Paris,75001,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$139.00,$60.00,$900.00,30,360,17
60%,,2.0,48.83479000000001,2.4020099999999998,Paris,75012,Île-de-France,6,Entire home/apt,2.0,1.0,3.0,$100.00,$40.00,"$1,000.00",3,15,19
82%,,1.0,48.84282,2.31829,Paris,75015,Île-de-France,2,Private room,1.0,1.0,1.0,$42.00,$20.00,$150.00,1,1125,71
,,1.0,48.86831,2.35146,Paris,75002,Île-de-France,1,Entire home/apt,0.0,1.0,1.0,$50.00,$20.00,,2,1125,36
,,1.0,48.85267,2.37751,Paris,75011,Île-de-France,2,Private room,1.0,1.0,1.0,$45.00,,$150.00,2,1125,17
60%,,1.0,48.83697,2.34805,Paris,75013,Île-de-France,4,Entire home/apt,2.0,1.0,3.0,$100.00,$35.00,$300.00,3,60,35
,,1.0,48.86002,2.30635,Paris,75007,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$95.00,,$800.00,6,1125,59
100%,,2.0,48.83768,2.3498799999999997,Paris,75005,Île-de-France,3,Entire home/apt,1.0,1.0,2.0,$135.00,$40.00,$800.00,5,1125,35
100%,,1.0,48.88097,2.3369400000000002,Paris,75009,Pigalle,4,Entire home/apt,1.0,1.0,2.0,$85.00,$40.00,$500.00,7,30,9
90%,,1.0,48.85038,2.34033,Paris,75006,Île-de-France,5,Entire home/apt,2.0,1.0,0.0,$180.00,$40.00,$700.00,5,60,41
,,1.0,48.84812,2.33955,Paris,75006,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$75.00,,,330,330,0
80%,,1.0,48.85713,2.35392,Paris,75004,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$110.00,$35.00,$500.00,4,330,62
100%,,3.0,48.88278,2.33671,Paris,75018,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$121.00,$60.00,$850.00,7,1125,6
100%,,2.0,48.88433,2.38213,Paris,75019,Île-de-France,2,Private room,1.0,,1.0,$45.00,,,2,365,35
,,1.0,48.84858,2.34112,Paris,75006,Île-de-France,3,Entire home/apt,1.0,1.0,2.0,$150.00,$20.00,$500.00,5,1125,0
100%,,1.0,48.83873,2.4003400000000004,Paris,75012,Île-de-France,2,Entire home/apt,1.0,1.0,0.0,$68.00,$20.00,$500.00,5,1125,30
,,1.0,48.86455,2.34536,Paris,75001,Île-de-France,4,Entire home/apt,1.0,1.0,2.0,$111.00,$40.00,$300.00,6,365,1
100%,,1.0,48.89869,2.34252,Paris,75018,Île-de-France,3,Entire home/apt,1.0,1.0,1.0,$65.00,,$250.00,10,60,1
100%,,1.0,48.85042,2.32807,Paris,75006,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$190.00,$60.00,$700.00,7,15,8
,,1.0,48.861290000000004,2.37607,Paris,75011,Île-de-France,6,Entire home/apt,2.0,2.0,2.0,$190.00,$40.00,$0.00,7,18,0
,,1.0,48.88413,2.3378200000000002,Paris,75018,Île-de-France,6,Entire home/apt,3.0,1.0,3.0,$57.00,,$300.00,5,16,1
100%,,1.0,48.86624000000001,2.3427599999999997,Paris,75001,Île-de-France,2,Private room,0.0,1.0,1.0,$81.00,,,1,7,666
100%,,1.0,48.8463,2.32947,Paris,75006,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$74.00,$30.00,$600.00,21,1125,17
100%,,1.0,48.85265,2.40263,Paris,75020,Île-de-France,2,Entire home/apt,1.0,1.0,0.0,$50.00,$20.00,$300.00,4,60,33
,,1.0,48.87099,2.3533,Paris,75010,Île-de-France,5,Entire home/apt,3.0,2.0,3.0,$190.00,,$200.00,4,1125,17
100%,,1.0,48.89689,2.33492,Paris,75018,Île-de-France,2,Private room,1.0,1.0,1.0,$50.00,$40.00,$300.00,1,66,17
100%,,1.0,48.87944,2.34035,Paris,75009,Île-de-France,4,Entire home/apt,2.0,1.0,2.0,$120.00,,$300.00,4,40,16
94%,,1.0,48.84496,2.3531299999999997,Paris,75005,Île-de-France,1,Private room,1.0,1.0,1.0,$54.00,,,1,1125,295
100%,,1.0,48.845459999999996,2.2768599999999997,Paris,75015,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$66.00,$26.00,$200.00,3,30,310
,,1.0,48.86745,2.3747,Paris,75011,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$100.00,$50.00,$700.00,7,1125,8
100%,,3.0,48.87943,2.33691,Paris,75009,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$90.00,$50.00,"$1,000.00",3,15,35
100%,,1.0,48.84732,2.30865,Paris,75015,Île-de-France,9,Entire home/apt,5.0,2.0,5.0,$370.00,$105.00,$500.00,3,365,53
86%,,1.0,48.87297,2.3601099999999997,Paris,75010,Île-de-France,2,Private room,1.0,1.0,1.0,$60.00,$22.00,$0.00,4,30,252
100%,,1.0,48.85561,2.37989,Paris,75011,Île-de-France,4,Entire home/apt,2.0,1.0,3.0,$75.00,,,3,28,85
100%,,1.0,48.88969,2.3349900000000003,Paris,75018,Île-de-France,7,Entire home/apt,3.0,2.0,3.0,$490.00,,"$1,200.00",5,75,47
100%,,1.0,48.859140000000004,2.35235,Paris,75004,Île-de-France,4,Entire home/apt,2.0,1.0,3.0,$178.00,,$500.00,7,28,15
100%,,1.0,48.88929,2.34448,Paris,75018,Île-de-France,3,Entire home/apt,1.0,1.0,1.0,$80.00,$20.00,$500.00,3,1125,36
100%,,4.0,48.86645,2.3014799999999997,Paris,75008,Île-de-France,4,Entire home/apt,1.0,1.0,2.0,$170.00,$100.00,"$1,000.00",2,1125,37
100%,,1.0,48.876290000000004,2.29224,Paris,75017,Île-de-France,7,Entire home/apt,3.0,1.5,3.0,$249.00,$30.00,"$1,000.00",1,30,87
0%,,1.0,48.82516,2.33055,Paris,75014,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$45.00,$30.00,$0.00,2,15,14
100%,,1.0,48.88124000000001,2.3451299999999997,Paris,75009,Île-de-France,3,Entire home/apt,2.0,1.0,2.0,$90.00,$40.00,$400.00,3,21,2
100%,,1.0,48.84817,2.28743,Paris,75015,Île-de-France,6,Entire home/apt,2.0,1.0,3.0,$200.00,$50.00,$300.00,1,1125,0
80%,,1.0,48.85497,2.36649,Paris,75004,Île-de-France,4,Entire home/apt,2.0,1.0,3.0,$100.00,$55.00,$500.00,3,1125,169
100%,,1.0,48.85242,2.33805,Paris,75006,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$55.00,$80.00,$200.00,7,14,2
,,3.0,48.84185,2.26797,Paris,75016,Île-de-France,8,Entire home/apt,3.0,1.0,4.0,$170.00,$30.00,$500.00,4,1125,2
,,1.0,48.85897,2.3772599999999997,Paris,75011,Île-de-France,4,Entire home/apt,1.0,1.0,1.0,$90.00,,,1,9,1
,,2.0,48.86688,2.36079,Paris,75003,Île-de-France,3,Entire home/apt,2.0,1.0,1.0,$93.00,,,2,1125,45
100%,,1.0,48.86789,2.3759,Paris,75011,Île-de-France,1,Private room,1.0,1.0,1.0,$40.00,,,3,1124,27
50%,,1.0,48.84151,2.34836,Paris,75005,Île-de-France,4,Entire home/apt,2.0,1.5,2.0,$160.00,$30.00,,5,30,19
100%,,1.0,48.86568,2.37189,Paris,75011,Île-de-France,3,Entire home/apt,1.0,1.0,2.0,$80.00,$50.00,$400.00,5,100,19
100%,,1.0,48.88524,2.3283099999999997,Paris,75018,Île-de-France,5,Entire home/apt,2.0,1.0,4.0,$100.00,$50.00,$500.00,5,57,36
,,1.0,48.84576,2.26593,Paris,75016,Île-de-France,6,Entire home/apt,2.0,1.0,2.0,$95.00,$15.00,$250.00,2,1125,59
100%,,2.0,48.88944,2.31906,Paris,75017,Île-de-France,6,Entire home/apt,2.0,1.0,3.0,$135.00,$60.00,"$1,500.00",7,60,3
,,1.0,48.86626,2.38084,Paris,75011,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$49.00,$39.00,$290.00,3,1124,16
67%,,1.0,48.85879,2.2777,Paris,75016,Île-de-France,4,Entire home/apt,2.0,1.0,1.0,$250.00,,$250.00,7,365,0
70%,,1.0,48.858779999999996,2.28421,Paris,75116,Île-de-France,5,Entire home/apt,3.0,1.0,3.0,$180.00,$80.00,"$1,000.00",1,28,11
100%,,1.0,48.87585,2.35316,Paris,75010,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$93.00,,$150.00,3,21,72
100%,,1.0,48.8587,2.3277900000000002,Paris,75007,Île-de-France,3,Entire home/apt,1.0,1.0,2.0,$245.00,$75.00,$600.00,4,29,73
100%,,1.0,48.87531,2.29677,Paris,75017,Île-de-France,7,Entire home/apt,3.0,2.0,3.0,$195.00,,"$1,200.00",2,21,30
100%,,1.0,48.83127,2.3601099999999997,Paris,75005,Île-de-France,4,Entire home/apt,1.0,1.0,2.0,$130.00,$40.00,$500.00,2,30,78
83%,,1.0,48.85394,2.33455,Paris,75006,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$125.00,,$500.00,4,40,29
